Borough_Station,Under_19,19_24,25_40,41_59,60_over,total
1 AVE EAST 14 ST-MANHATTAN,,1,,,,1
1 AVENUE &amp;&amp; EAST 14 STREET-MANHATTAN,,52,19,16,2,89
1 AVENUE &amp;&amp; EAST HOUSTON STREET-MANHATTAN,,1,,,,1
10 AVENUE &amp;&amp; WEST 207 STREET-MANHATTAN,,21,9,3,,33
10 AVENUE &amp;&amp; WEST 215 STREET-MANHATTAN,,1,,,,1
10 AVENUE &amp;&amp; WEST 59 STREET-MANHATTAN,,,1,,,1
101 WEST 145 STREET-MANHATTAN,,,2,1,,3
103 STREET &amp;&amp; ROOSEVELT AVENUE-QUEENS,,29,22,6,,57
104 STREET &amp;&amp; LIBERTY AVENUE-QUEENS,,1,,,,1
111 STREET &amp;&amp; LIBERTY AVENUE-QUEENS,,7,2,1,,10
111 STREET &amp;&amp; ROOSEVELT AVENUE-QUEENS,,5,1,,,6
117-14 QUEENS BOULEVARD-QUEENS,,,1,,,1
135 EAST 125 STREET-MANHATTAN,,,1,,,1
148 STREET &amp;&amp; HILLSIDE AVENUE-QUEENS,,2,1,,,3
1503 BUSHWICK AVENUE-BROOKLYN,,,1,,,1
159 AVENUE &amp;&amp; COLEMAN SQUARE-QUEENS,,9,5,1,,15
162 AMSTERDAM AVENUE-MANHATTAN,,,1,,,1
18 AVENUE &amp;&amp; 85 STREET-BROOKLYN,,,,1,,1
184 3 AVENUE-MANHATTAN,,,1,,,1
2 AVENUE &amp;&amp; EAST 2 STREET-MANHATTAN,,,,1,,1
2 AVENUE &amp;&amp; EAST HOUSTON STREET-MANHATTAN,,64,68,54,6,192
2 PLACE &amp;&amp; SMITH STREET-BROOKLYN,,,1,1,,2
2085 LEXINGTON AVENUE-MANHATTAN,,1,,,,1
21 STREET &amp;&amp; 49 AVENUE-QUEENS,,,,1,,1
217 SUBWAY BRONX IRT-BRONX,,1,,,,11
2399 FULTON STREET-BROOKLYN,,1,,,,
25 STREET &amp;&amp; 4 AVENUE-BROOKLYN,,1,,,,1
25 STREET-BROOKLYN,,,,1,,1
2540 VALENTINE AVENUE-BRONX,,,,1,,1
27 STREET &amp;&amp; QUEENS PLAZA SOUTH-QUEENS,,4,5,2,,11
3 AVENUE &amp;&amp; BROOK AVENUE-BRONX,,2,,,,2
3 AVENUE &amp;&amp; EAST 124 STREET-MANHATTAN,,,1,2,,3
3 AVENUE &amp;&amp; EAST 138 STREET-BRONX,,11,11,10,1,33
3 AVENUE &amp;&amp; EAST 14 STREET-MANHATTAN,,4,5,2,,11
. 3 AVENUE &amp;&amp; EAST 140 STREET-BRONX,,,1,,,1
3 AVENUE &amp;&amp; EAST 149 STREET-BRONX,1,243,173,120,2,539
3 AVENUE &amp;&amp; EAST 161 STREET-BRONX,,1,1,,,2
3 AVENUE &amp;&amp; EAST 163 STREET-BRONX,,27,16,19,1,63
3 AVENUE &amp;&amp; EAST 60 STREET-MANHATTAN,,1,,,,1
3 AVENUE &amp;&amp; EAST FORDHAM ROAD-BRONX,,35,33,6,,74
3 AVENUE BRIDGE &amp;&amp; 3 AVENUE-BRONX,,,1,1,,2
30 STREET &amp;&amp; BROADWAY-QUEENS,,1,,,,1
31 STREET &amp;&amp; 30 AVENUE-QUEENS,,1,,,,1
31 STREET &amp;&amp; 36 AVENUE-QUEENS,,2,2,,,4
31 STREET &amp;&amp; 39 AVENUE-QUEENS,,,1,1,,2
31 STREET &amp;&amp; ASTORIA BOULEVARD-QUEENS,,1,,1,,2
31 STREET &amp;&amp; BROADWAY-QUEENS,,3,1,,,4
31 STREET &amp;&amp; DITMARS BOULEVARD-QUEENS,,6,2,,,8
330 JAY STREET-BROOKLYN,,1,,,,1
34 AVENUE &amp;&amp; STEINWAY STREET-QUEENS,,43,15,2,,60
3437 JEROME AVENUE-BRONX,,1,,,,1
36 AVENUE &amp;&amp; 31 STREET-QUEENS,,1,,,,1
36 AVENUE-QUEENS,,,1,,,1
36 STREET &amp;&amp; NORTHERN BOULEVARD-QUEENS,,1,6,2,,9
36 STREET-QUEENS,,1,,,,1
4 AVENUE &amp;&amp; 25 STREET-BROOKLYN,,23,6,8,,37
4 AVENUE &amp;&amp; 36 STREET-BROOKLYN,,5,2,,,7
4 AVENUE &amp;&amp; 45 STREET-BROOKLYN,,2,1,,,3
4 AVENUE &amp;&amp; 53 STREET-BROOKLYN,,22,6,2,,30
4 AVENUE &amp;&amp; 59 STREET-BROOKLYN,,13,5,1,,19
4 AVENUE &amp;&amp; 69 STREET-BROOKLYN,,,1,,,1
4 AVENUE &amp;&amp; 86 STREET-BROOKLYN,4,16,2,3,,25
4 AVENUE &amp;&amp; 9 STREET-BROOKLYN,,7,6,5,,18
4 AVENUE &amp;&amp; 95 STREET-BROOKLYN,,2,,,,2
4 AVENUE &amp;&amp; ASTOR PLACE-MANHATTAN,,1,,,,1
4 AVENUE &amp;&amp; BAY RIDGE AVENUE-BROOKLYN,,4,1,1,,6
4 AVENUE &amp;&amp; EAST 14 STREET-MANHATTAN,,1,,,,1
4 AVENUE &amp;&amp; PACIFIC STREET-BROOKLYN,,1,2,2,,5
4 AVENUE &amp;&amp; PROSPECT AVENUE-BROOKLYN,,4,5,4,,13
4 AVENUE &amp;&amp; UNION STREET-BROOKLYN,,4,2,,,6
4 AVENUE-BROOKLYN,,1,,,,1
40 STREET &amp;&amp; QUEENS BOULEVARD-QUEENS,,1,,,,1
41 AVENUE &amp;&amp; 21 STREET-QUEENS,,,,1,,1
41 AVENUE &amp;&amp; NORTHERN BOULEVARD-QUEENS,,1,,,,1
4175 BROADWAY-MANHATTAN,,1,,,,1
44 DRIVE &amp;&amp; 21 STREET-QUEENS,,1,,,,1
44 DRIVE &amp;&amp; 23 STREET-QUEENS,,,1,,,1
44 STREET &amp;&amp; NEW UTRECHT AVENUE-BROOKLYN,,3,3,2,,8
46 STREET &amp;&amp; BROADWAY-QUEENS,,,1,,,1
46 STREET &amp;&amp; QUEENS BOULEVARD-QUEENS,,10,5,2,,17
47 SUBWAY QUEENS IRT-QUEENS,,,,1,,1
5 AVENUE &amp;&amp; 49 STREET-BROOKLYN,,1,,,,1
5 AVENUE &amp;&amp; EAST 23 STREET-MANHATTAN,,1,,,,1
5 AVENUE &amp;&amp; EAST 59 STREET-MANHATTAN,,1,,,,1
5 AVENUE &amp;&amp; WEST 53 STREET-MANHATTAN,,1,,,,1
50 AVENUE &amp;&amp; VERNON BOULEVARD-QUEENS,,1,,,,1
52 STREET &amp;&amp; ROOSEVELT AVENUE-QUEENS,,1,1,,,2
574 PRESIDENT STREET-BROOKLYN,,,1,,,1
59 STREET-BROOKLYN,,1,,,,1
600 EAST 125 STREET-MANHATTAN,,,,1,,1
61 STREET &amp;&amp; ROOSEVELT AVENUE-QUEENS,,1,1,,,2
62 STREET &amp;&amp; 18 AVENUE-BROOKLYN,,1,,,,1
62 STREET &amp;&amp; FORT HAMILTON PARKWAY-BROOKLYN,,1,2,1,,4
62 STREET &amp;&amp; NEW UTRECHT AVENUE-BROOKLYN,,1,1,,,2
62 STREET-BROOKLYN,,,1,â– ,,1
63 DRIVE &amp;&amp; QUEENS BOULEVARD-QUEENS,,,1,,,1
63 STREET &amp;&amp; 18 AVENUE-BROOKLYN,,1,2,,,3
63 STREET &amp;&amp; 20 AVENUE-BROOKLYN,,1,,1,,2
644 FRANKLIN AVENUE-BROOKLYN,,,1,1,,2
673 SAINT NICHOLAS AVENUE-MANHATTAN,,,1,,,1
69 STREET &amp;&amp; ROOSEVELT AVENUE-QUEENS,,5,,,,5
695 SAINT NICHOLAS AVENUE-MANHATTAN,,,1,,,1
7 AVENUE &amp;&amp; 9 STREET-BROOKLYN,,5,2,,,7
7 AVENUE &amp;&amp; WEST 14 STREET-MANHATTAN,,6,6,4,,16
7 AVENUE &amp;&amp; WEST 18 STREET-MANHATTAN,,,2,,,2
7 AVENUE &amp;&amp; WEST 23 STREET-MANHATTAN,,3,6,5,,14
7 AVENUE &amp;&amp; WEST 28 STREET-MANHATTAN,,5,4,6,1,16
7 AVENUE &amp;&amp; WEST 34 STREET-MANHATTAN,,100,65,51,8,224
7 AVENUE &amp;&amp; WEST 40 STREET-MANHATTAN,,2,1,3,,6
7 AVENUE &amp;&amp; WEST 41 STREET-MANHATTAN,,,1,,,1
7 AVENUE &amp;&amp; WEST 42 STREET-MANHATTAN,,35,22,19,1,77
7 AVENUE &amp;&amp; WEST 47 STREET-MANHATTAN,,2,,,,2
